date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:30:31	44804/44804	---M--	200	added ('OK')	text/html	date:Sat,%2028%20Jan%202017%2018:02:09%20GMT	http://wordpressboss.com/wb/smoth-demo/index-slider.html	D:/download-template/bootstrap-1/bootstrap%20template/wordpressboss.com/wb/smoth-demo/index-slider.html	(from )
12:30:31	67/67	---MC-	200	added ('OK')	text/plain	date:Mon,%2030%20Jan%202017%2007:00:31%20GMT	http://wordpressboss.com/robots.txt		(from )
12:30:33	8362/8362	---M--	200	added ('OK')	text/css	date:Mon,%2023%20Jan%202017%2018:52:47%20GMT	http://wordpressboss.com/wb/smoth-demo/assets/fonts/linear-fonts.css	D:/download-template/bootstrap-1/bootstrap%20template/wordpressboss.com/wb/smoth-demo/assets/fonts/linear-fonts.css	(from http://wordpressboss.com/wb/smoth-demo/index-slider.html)
12:30:33	121260/121260	---M--	200	added ('OK')	text/css	date:Mon,%2023%20Jan%202017%2018:53:34%20GMT	http://wordpressboss.com/wb/smoth-demo/assets/bootstrap/css/bootstrap.min.css	D:/download-template/bootstrap-1/bootstrap%20template/wordpressboss.com/wb/smoth-demo/assets/bootstrap/css/bootstrap.min.css	(from http://wordpressboss.com/wb/smoth-demo/index-slider.html)
12:30:34	33233/33233	---M--	200	added ('OK')	text/css	date:Mon,%2023%20Jan%202017%2018:52:37%20GMT	http://wordpressboss.com/wb/smoth-demo/assets/fonts/font-awesome.css	D:/download-template/bootstrap-1/bootstrap%20template/wordpressboss.com/wb/smoth-demo/assets/fonts/font-awesome.css	(from http://wordpressboss.com/wb/smoth-demo/index-slider.html)
12:30:36	1478/1478	---M--	200	added ('OK')	text/css	date:Mon,%2023%20Jan%202017%2018:54:24%20GMT	http://wordpressboss.com/wb/smoth-demo/assets/owlcarousel/css/owl.carousel.css	D:/download-template/bootstrap-1/bootstrap%20template/wordpressboss.com/wb/smoth-demo/assets/owlcarousel/css/owl.carousel.css	(from http://wordpressboss.com/wb/smoth-demo/index-slider.html)
12:30:36	1662/1662	---M--	200	added ('OK')	text/css	date:Mon,%2023%20Jan%202017%2018:54:24%20GMT	http://wordpressboss.com/wb/smoth-demo/assets/owlcarousel/css/owl.theme.css	D:/download-template/bootstrap-1/bootstrap%20template/wordpressboss.com/wb/smoth-demo/assets/owlcarousel/css/owl.theme.css	(from http://wordpressboss.com/wb/smoth-demo/index-slider.html)
12:30:37	6951/6951	---M--	200	added ('OK')	text/css	date:Mon,%2023%20Jan%202017%2018:52:29%20GMT	http://wordpressboss.com/wb/smoth-demo/assets/css/magnific-popup.css	D:/download-template/bootstrap-1/bootstrap%20template/wordpressboss.com/wb/smoth-demo/assets/css/magnific-popup.css	(from http://wordpressboss.com/wb/smoth-demo/index-slider.html)
12:30:38	54877/54877	---M--	200	added ('OK')	text/css	date:Mon,%2023%20Jan%202017%2018:52:29%20GMT	http://wordpressboss.com/wb/smoth-demo/assets/css/animate.min.css	D:/download-template/bootstrap-1/bootstrap%20template/wordpressboss.com/wb/smoth-demo/assets/css/animate.min.css	(from http://wordpressboss.com/wb/smoth-demo/index-slider.html)
12:30:39	2875/2875	---M--	200	added ('OK')	text/css	date:Mon,%2023%20Jan%202017%2018:52:28%20GMT	http://wordpressboss.com/wb/smoth-demo/assets/css/effects.css	D:/download-template/bootstrap-1/bootstrap%20template/wordpressboss.com/wb/smoth-demo/assets/css/effects.css	(from http://wordpressboss.com/wb/smoth-demo/index-slider.html)
